"filename", "language", "TypeScript", "JSON", "XML", "JSON with Comments", "Markdown", "JavaScript", "MS SQL", "TypeScript JSX", "CSS", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\low-stock\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\packages\_components\create-package-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 6, 85
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\packages\_components\packages-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 9, 90
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\packages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 18, 299
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\products\_components\create-product-category-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 5, 49
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\products\_components\create-product-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 85
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\products\_components\products-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 8, 130
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\products\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\reports\_components\reports-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 23, 221
